"LSID","Species.Name","Taxon.Concept","Taxon.Rank","Kingdom","Phylum","Class","Order","Family","Genus","Vernacular.Name","Number.of.records","Invasive","source","slope"
"Passer domesticus|NHMSYS0000530537|House Sparrow|Animalia|Passeridae","Passer domesticus","(Linnaeus, 1758)","SPECIES","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer domesticus",5,"NA","Scottish Biodiversity List","North"
"Sciurus vulgaris|NBNSYS0000005108|Eurasian Red Squirrel|Animalia|Sciuridae","Sciurus vulgaris","Linnaeus, 1758","SPECIES","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Sciurus","Sciurus vulgaris",4,"NA","Scottish Biodiversity List","North"
"Thalasseus sandvicensis|NHMSYS0021274181|Sandwich Tern|Animalia|Laridae","Thalasseus sandvicensis","(Latham, 1787)","SPECIES","Animalia","Chordata","Aves","Charadriiformes","Laridae","Thalasseus","Thalasseus sandvicensis",2,"NA","Scottish Biodiversity List","North"
"Turdus philomelos|NHMSYS0000530678|Song Thrush|Animalia|Turdidae","Turdus philomelos","Brehm, CL, 1831","SPECIES","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","Turdus philomelos",5,"NA","Scottish Biodiversity List","North"
"Turdus torquatus|NHMSYS0000530681|Ring Ouzel|Animalia|Turdidae","Turdus torquatus","Linnaeus, 1758","SPECIES","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","Turdus torquatus",1,"NA","Scottish Biodiversity List","North"
"Anguilla anguilla|NBNSYS0000188599|European Eel|Animalia|Anguillidae","Anguilla anguilla","(Linnaeus, 1758)","SPECIES","Animalia","Chordata","Actinopterygii","Anguilliformes","Anguillidae","Anguilla","Anguilla anguilla",1,"NA","Biodiversity Action Plan UK list of priority species","South"
"Boloria selene|NHMSYS0021143547|Small Pearl-bordered Fritillary|Animalia|Nymphalidae","Boloria selene","([Denis & Schiffermüller], 1775)","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Boloria","Boloria selene",2,"NA","Biodiversity Action Plan UK list of priority species","South"
"Bufo bufo|NHMSYS0000080159|Common Toad|Animalia|Bufonidae","Bufo bufo","(Linnaeus, 1758)","SPECIES","Animalia","Chordata","Amphibia","Anura","Bufonidae","Bufo","Bufo bufo",5,"NA","Biodiversity Action Plan UK list of priority species","South"
"Coenonympha pamphilus|NHMSYS0000519083|Small Heath|Animalia|Nymphalidae","Coenonympha pamphilus","(Linnaeus, 1758)","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Coenonympha","Coenonympha pamphilus",4,"NA","Biodiversity Action Plan UK list of priority species","South"
"Cuculus canorus|NHMSYS0000530324|Cuckoo|Animalia|Cuculidae","Cuculus canorus","Linnaeus, 1758","SPECIES","Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Cuculus","Cuculus canorus",5,"NA","Biodiversity Action Plan UK list of priority species","South"
"Numenius arquata|NBNSYS0000000032|Curlew|Animalia|Scolopacidae","Numenius arquata","(Linnaeus, 1758)","SPECIES","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Numenius","Numenius arquata",1,"NA","Biodiversity Action Plan UK list of priority species","South"
"Passer domesticus|NHMSYS0000530537|House Sparrow|Animalia|Passeridae","Passer domesticus","(Linnaeus, 1758)","SPECIES","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer domesticus",1,"NA","Biodiversity Action Plan UK list of priority species","South"
"Salmo trutta|NBNSYS0000188607|Brown/Sea Trout|Animalia|Salmonidae","Salmo trutta","Linnaeus, 1758","SPECIES","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Salmo","Salmo trutta",1,"NA","Biodiversity Action Plan UK list of priority species","South"
"Sciurus vulgaris|NBNSYS0000005108|Eurasian Red Squirrel|Animalia|Sciuridae","Sciurus vulgaris","Linnaeus, 1758","SPECIES","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Sciurus","Sciurus vulgaris",2,"NA","Biodiversity Action Plan UK list of priority species","South"
"Sorbus arranensis|NHMSYS0000463796|Arran Whitebeam|Plantae|Rosaceae","Sorbus arranensis","Hedl.","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Sorbus","Sorbus arranensis",10,"NA","Biodiversity Action Plan UK list of priority species","South"
"Acer pseudoplatanus|NBNSYS0000003191|Sycamore|Plantae|Sapindaceae","Acer pseudoplatanus","L.","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","Acer pseudoplatanus",6,"Invasive Species","Invasive Species","south"
"Cygnus olor|NBNSYS0000000010|Mute Swan|Animalia|Anatidae","Cygnus olor","(Gmelin, JF, 1789)","SPECIES","Animalia","Chordata","Aves","Anseriformes","Anatidae","Cygnus","Cygnus olor",1,"Invasive Species","Invasive Species","south"
"Neovison vison|NHMSYS0020774297|American Mink|Animalia|Mustelidae","Neovison vison","(Schreber, 1777)","SPECIES","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Neovison","Neovison vison",1,"Invasive Species","Invasive Species","south"
"Rhododendron ponticum|NBNSYS0000003888|Rhododendron|Plantae|Ericaceae","Rhododendron ponticum","L.","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Rhododendron","Rhododendron ponticum",8,"Invasive Species","Invasive Species","south"
"Rubus spectabilis|NBNSYS0000003324|Salmonberry|Plantae|Rosaceae","Rubus spectabilis","Pursh","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Rubus","Rubus spectabilis",2,"Invasive Species","Invasive Species","south"
"Myotis nattereri|NHMSYS0000080184|Natterer's Bat|Animalia|Vespertilionidae","Myotis nattereri","(Kuhl, 1817)","SPECIES","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Myotis","Myotis nattereri",1,"NA","Red List GB post 2001 - Critically Endangered (possibly extinct) - based on IUCN guidelines","South"
"Sciurus vulgaris|NBNSYS0000005108|Eurasian Red Squirrel|Animalia|Sciuridae","Sciurus vulgaris","Linnaeus, 1758","SPECIES","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Sciurus","Sciurus vulgaris",2,"NA","Red List GB post 2001 - Endangered - based on IUCN guidelines","South"
